NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
YON20181213,Yongala,-19.30847,147.61842,2018-12-13T10:30:00Z,2018,12,13,10:30:00,300337665.417788,37201044.005812,0,11677800.202735,8323870.94017094,0,601831.891025641,0,0
ROT20181211,Rottnest Island,-32,115.41667,2018-12-11T09:24:00Z,2018,12,11,09:24:00,15186622.3737245,0,0,1495928.45259354,3739988.0952381,0,1632653.06122449,0,0
MAI20181204,Maria Island,-42.59667,148.23333,2018-12-05T09:10:00Z,2018,12,5,09:10:00,1058765278.73826,306403324.306296,0,3291309613.60244,40508308.9017235,0,644833.714140645,0,0
KAI20181204,Kangaroo Island,-35.83217,136.44733,2018-12-04T15:39:00Z,2018,12,4,15:39:00,0,6239644.26040609,0,943540.143824027,2126287.64805415,0,0,0,103822.639065144
ROT20181130,Rottnest Island,-32,115.41667,2018-11-30T09:33:00Z,2018,11,30,09:33:00,49595336.7996732,4508520.44892157,1122656.42647059,6395249.26271856,4684151.75653595,0,554901.960784314,0,0
YON20181123,Yongala,-19.30847,147.61842,2018-11-23T10:05:00Z,2018,11,23,10:05:00,70177795.3669508,4452357.60547138,1611492.87045455,12183974.5505051,14379120.8964646,0,3172979.7979798,0,0
PHB20181120,Port Hacking,-34.11923,151.22667,2018-11-21T09:24:00Z,2018,11,21,09:24:00,165829257.969527,4818889.06894693,0,3916476979.82421,11754912.831675,0,168006785.903814,0,15466990.5679934
NSI20181115,North Stradbroke,-27.345,153.562,2018-11-15T10:40:00Z,2018,11,15,10:40:00,2408314501.69601,16505111.7818019,0,849556.732394366,7436079.61658842,0,7427900.73775989,0,0
DAR20181030,Darwin,-12.4,130.76805,2018-10-31T08:26:00Z,2018,10,31,08:26:00,322450466.822196,1357735.03989362,609100.82712766,501317.553191489,0,0,96603118.3510638,0,217585.743572695
ROT20181024,Rottnest Island,-32,115.41667,2018-10-24T09:18:00Z,2018,10,24,09:18:00,12678088.8050702,400713.010204082,0,2873379.42517007,12221746.8112245,0,173469.387755102,0,0
NSI20181023,North Stradbroke,-27.345,153.562,2018-10-23T10:30:00Z,2018,10,23,10:30:00,163176787.100592,5037826.66625575,0,23695548.4306788,1807292.07758054,0,1478585.89127219,0,0
