Sample,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
10330,Port Hacking,-34.11923,151.22667,2017-09-22T08:48:00Z,2017,9,22,08:48:00,19733.33,1133.33,0,1800.01,140000,0,3133.33,0,0
10361,Rottnest Island,-32,115.41667,2017-09-14T09:45:00Z,2017,9,14,09:45:00,1442.31,48.08,0,961.55,401923.08,0,9903.83,0,240.38
10268,Kangaroo Island,-35.83217,136.44733,2017-09-08T15:00:00Z,2017,9,8,15:00:00,456.76,576.93,0,985.6,78846.16,0,817.32,0,96.16
10407,Yongala,-19.30847,147.61842,2017-09-06T10:00:00Z,2017,9,6,10:00:00,41919.19,606.06,5050.51,2299.46,122994.65,0,2626.26,101.01,0
10162,North Stradbroke,-27.345,153.562,2017-08-29T11:50:00Z,2017,8,29,11:50:00,5333.33,0,0,5483.34,296250,0,10066.66,0,66.67
10492,Port Hacking,-34.11923,151.22667,2017-08-22T09:50:00Z,2017,8,22,09:50:00,675,650,0,1100,59000,0,375,0,0
10392,Yongala,-19.30847,147.61842,2017-08-16T10:24:00Z,2017,8,16,10:24:00,1562.48,52.08,0,2786.47,66145.84,0,859.37,0,0
10083,Rottnest Island,-32,115.41667,2017-08-02T09:33:00Z,2017,8,2,09:33:00,1806.88,123.76,0,13391.09,80693.08,0,1113.85,0,74.25
9943,Maria Island,-42.59667,148.23333,2017-08-01T10:01:00Z,2017,8,1,10:01:00,23.36,443.92,0,6698.93,280373.84,0,490.65,0,23.36
10464,Yongala,-19.30847,147.61842,2017-07-24T10:45:00Z,2017,7,24,10:45:00,52.63,289.48,0,7615.81,116315.79,0,447.38,0,26.32
