NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
NSI20160318,8518,North Stradbroke,-27.345,153.562,2016-03-18 10:30:00
DAR20160202_0630,8748,Darwin,-12.4,130.76805,2016-02-02 16:00:00
ROT20160621,8900,Rottnest Island,-32,115.41667,2016-06-21 09:26:00
NSI20160822,8989,North Stradbroke,-27.345,153.562,2016-08-22 10:50:00
MAI20160927,9052,Maria Island,-42.59667,148.23333,2016-09-27 10:10:00
NSI20150624,7704,North Stradbroke,-27.345,153.562,2015-06-24 10:30:00
PHB20160229,8870,Port Hacking,-34.11923,151.22667,2016-03-01 09:00:00
DAR20151117,8195,Darwin,-12.4,130.76805,2015-11-18 08:16:00
PHB20160926,9515,Port Hacking,-34.11923,151.22667,2016-09-27 09:54:00
MAI20170412,9712,Maria Island,-42.59667,148.23333,2017-04-12 10:15:00
MAI20170801,9943,Maria Island,-42.59667,148.23333,2017-08-01 10:01:00
PHB20170614,9988,Port Hacking,-34.11923,151.22667,2017-06-15 08:52:00
NSI20170829,10162,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00
YON20170816,10392,Yongala,-19.30847,147.61842,2017-08-16 10:24:00
PHB20171211,10713,Port Hacking,-34.11923,151.22667,2017-12-12 08:54:00
KAI20180307,10833,Kangaroo Island,-35.83217,136.44733,2018-03-07 12:20:00
YON20161207,9545,Yongala,-19.30847,147.61842,2016-12-07 10:15:00
PHB20161204,9605,Port Hacking,-34.11923,151.22667,2016-12-05 09:45:00
PHB20170321,9820,Port Hacking,-34.11923,151.22667,2017-03-22 09:21:00
ROT20170523,10051,Rottnest Island,-32,115.41667,2017-05-23 09:53:00
ROT20170802,10083,Rottnest Island,-32,115.41667,2017-08-02 09:33:00
NSI20170927,10193,North Stradbroke,-27.345,153.562,2017-09-27 10:40:00
KAI20171129,10521,Kangaroo Island,-35.83217,136.44733,2017-11-29 14:50:00
PHB20180326,10807,Port Hacking,-34.11923,151.22667,2018-03-27 09:40:00
MAI20180315,10889,Maria Island,-42.59667,148.23333,2018-03-16 08:45:00
ROT20180511,10937,Rottnest Island,-32,115.41667,2018-05-11 09:21:00
NSI20180302,10614,North Stradbroke,-27.345,153.562,2018-03-02 10:25:00
PHB20180626,11064,Port Hacking,-34.11923,151.22667,2018-06-27 09:41:00
PHB20180724,11092,Port Hacking,-34.11923,151.22667,2018-07-25 09:33:00
MAI20181018,11266,Maria Island,-42.59667,148.23333,2018-10-19 08:45:00
NSI20180817,11377,North Stradbroke,-27.345,153.562,2018-08-17 10:20:00
YON20190507,12082,Yongala,-19.30847,147.61842,2019-05-07 11:30:00
KAI20180515,11008,Kangaroo Island,-35.83217,136.44733,2018-05-16 08:15:00
YON20180602,11132,Yongala,-19.30847,147.61842,2018-06-03 09:10:00
ROT20180727,11293,Rottnest Island,-32,115.41667,2018-07-27 09:33:00
ROT20180921,11307,Rottnest Island,-32,115.41667,2018-09-21 09:27:00
MAI20190106,11518,Maria Island,-42.59667,148.23333,2019-01-07 08:50:00
NSI20190118,11667,North Stradbroke,-27.345,153.562,2019-01-18 10:40:00
PHB20190408,11885,Port Hacking,-34.11923,151.22667,2019-04-09 08:50:00
NSI20190723,12215,North Stradbroke,-27.345,153.562,2019-07-23 10:20:00
PHB20190729,12391,Port Hacking,-34.11923,151.22667,2019-07-29 10:03:00
MAI20200526,13114,Maria Island,-42.59667,148.23333,2020-05-26 10:10:00
NSI20111220,79,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00
NSI20110412,84,North Stradbroke,-27.345,153.562,2011-04-13 09:25:00
YON20110720,87,Yongala,-19.30847,147.61842,2011-07-20 11:37:00
PHB20101213,97,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00
ROT20110826,108,Rottnest Island,-32,115.41667,2011-08-26 09:43:00
