NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,STATION_DEPTH,SAMPLEDEPTH_M
KAI20090205,Kangaroo Island,-35.83217,136.44733,2009-02-05 14:05:00,110,0
KAI20090205,Kangaroo Island,-35.83217,136.44733,2009-02-05 14:05:00,110,50
NSI20091021,North Stradbroke,-27.345,153.562,2009-10-22 09:20:00,60,10
ROT20100820,Rottnest Island,-32,115.41667,2010-08-20 14:30:00,50,20
YON20111027,Yongala,-19.30847,147.61842,2011-10-27 13:44:00,28.9,0
PHB20100609,Port Hacking,-34.11923,151.22667,2010-06-09 10:53:00,100,0
ROT20110725,Rottnest Island,-32,115.41667,2011-07-25 10:20:00,50,20
PHB20090924,Port Hacking,-34.11923,151.22667,2009-09-25 08:45:00,100,40
MAI20091207,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00,86,0
NSI20100322,North Stradbroke,-27.345,153.562,2010-03-23 09:15:00,60,40
ESP20110818,Esperance,-33.93333,121.85,2011-08-18 10:20:00,50,10
MAI20120524,Maria Island,-42.59667,148.23333,2012-05-24 11:30:00,86,75
PHB20110517,Port Hacking,-34.11923,151.22667,2011-05-18 09:25:00,100,10
MAI20111005,Maria Island,-42.59667,148.23333,2011-10-05 12:24:00,86,40
KAI20100419,Kangaroo Island,-35.83217,136.44733,2010-04-20 07:00:00,110,40
ROT20120130,Rottnest Island,-32,115.41667,2012-01-30 11:09:00,50,50
PHB20120311,Port Hacking,-34.11923,151.22667,2012-03-12 09:00:00,100,40
PHB20120311,Port Hacking,-34.11923,151.22667,2012-03-12 09:00:00,100,60
PHB20111018,Port Hacking,-34.11923,151.22667,2011-10-19 09:31:00,100,30
NSI20091215,North Stradbroke,-27.345,153.562,2009-12-16 09:00:00,60,20
ROT20100315,Rottnest Island,-32,115.41667,2010-03-15 10:00:00,50,10
MAI20100615,Maria Island,-42.59667,148.23333,2010-06-15 11:10:00,86,20
ESP20110120,Esperance,-33.93333,121.85,2011-01-20 08:50:00,50,10
MAI20101214,Maria Island,-42.59667,148.23333,2010-12-14 11:05:00,86,20
MAI20101214,Maria Island,-42.59667,148.23333,2010-12-14 11:05:00,86,40
MAI20101214,Maria Island,-42.59667,148.23333,2010-12-14 11:05:00,86,60
ESP20120229,Esperance,-33.93333,121.85,2012-02-29 10:00:00,50,20
KAI20120215,Kangaroo Island,-35.83217,136.44733,2012-02-15 11:50:00,110,20
NSI20110412,North Stradbroke,-27.345,153.562,2011-04-13 09:25:00,60,20
NSI20110412,North Stradbroke,-27.345,153.562,2011-04-13 09:25:00,60,40
NSI20110727,North Stradbroke,-27.345,153.562,2011-07-28 09:30:00,60,20
PHB20091011,Port Hacking,-34.11923,151.22667,2009-10-12 09:28:00,100,50
PHB20101213,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00,100,10
PHB20101213,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00,100,25
PHB20101213,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00,100,30
PHB20110203,Port Hacking,-34.11923,151.22667,2011-02-04 09:58:00,100,10
ROT20111221,Rottnest Island,-32,115.41667,2011-12-21 15:45:00,50,30
ROT20110125,Rottnest Island,-32,115.41667,2011-01-25 09:10:00,50,10
NSI20110816,North Stradbroke,-27.345,153.562,2011-08-16 10:00:00,60,40
NSI20110623,North Stradbroke,-27.345,153.562,2011-06-23 10:25:00,60,20
KAI20090205,Kangaroo Island,-35.83217,136.44733,2009-02-05 14:05:00,110,40
PHB20100609,Port Hacking,-34.11923,151.22667,2010-06-09 10:53:00,100,10
MAI20091207,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00,86,80
MAI20100505,Maria Island,-42.59667,148.23333,2010-05-05 11:30:00,86,20
MAI20100505,Maria Island,-42.59667,148.23333,2010-05-05 11:30:00,86,80
ROT20100520,Rottnest Island,-32,115.41667,2010-05-20 10:05:00,50,0
MAI20110118,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00,86,20
MAI20110118,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00,86,50
MAI20090716,Maria Island,-42.59667,148.23333,2009-07-16 11:36:00,86,WC
YON20100729,Yongala,-19.30847,147.61842,2010-07-29 11:22:00,28.9,WC
PHB20090819,Port Hacking,-34.11923,151.22667,2009-08-20 09:19:00,100,WC
YON20090909,Yongala,-19.30847,147.61842,2009-09-09 10:40:00,28.9,WC
MAI20091013,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00,86,WC
KAI20100419,Kangaroo Island,-35.83217,136.44733,2010-04-20 07:00:00,110,WC
KAI20110718,Kangaroo Island,-35.83217,136.44733,2011-07-19 09:00:00,110,WC
KAI20100315,Kangaroo Island,-35.83217,136.44733,2010-03-16 06:00:00,110,WC
YON20120112,Yongala,-19.30847,147.61842,2012-01-12 11:30:00,28.9,WC
PHB20090518,Port Hacking,-34.11923,151.22667,2009-05-19 09:25:00,100,WC
ESP20110120,Esperance,-33.93333,121.85,2011-01-20 08:50:00,50,WC
DAR20120115_03:35,Darwin,-12.4,130.76805,2012-01-15 13:05:00,25,WC
MAI20100120,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00,86,WC
PHB20101213,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00,100,WC
NSI20091101,North Stradbroke,-27.345,153.562,2009-11-02 09:02:00,60,WC
KAI20100112,Kangaroo Island,-35.83217,136.44733,2010-01-13 07:00:00,110,WC
ROT20110125,Rottnest Island,-32,115.41667,2011-01-25 09:10:00,50,WC
NSI20110816,North Stradbroke,-27.345,153.562,2011-08-16 10:00:00,60,WC
KAI20090114,Kangaroo Island,-35.83217,136.44733,2009-01-15 08:00:00,110,50
KAI20110123,Kangaroo Island,-35.83217,136.44733,2011-01-24 07:40:00,110,10
KAI20081019,Kangaroo Island,-35.83217,136.44733,2008-10-19 11:15:00,110,75
KAI20081110,Kangaroo Island,-35.83217,136.44733,2008-11-11 07:00:00,110,75
DAR20120115_03:35,Darwin,-12.4,130.76805,2012-01-15 13:05:00,25,0
ROT20110622,Rottnest Island,-32,115.41667,2011-06-22 10:00:00,50,WC
NSI20100520,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00,60,WC
NSI20110915,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00,60,WC
DAR20120417,Darwin,-12.4,130.76805,2012-04-17 09:42:00,25,WC
DAR20120730_01:30,Darwin,-12.4,130.76805,2012-07-30 11:00:00,25,WC
MAI20120820,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,86,WC
NSI20090114,North Stradbroke,-27.345,153.562,2009-01-14 10:30:00,60,WC
DAR20121209_03:00,Darwin,-12.4,130.76805,2012-12-09 12:30:00,25,WC
YON20120918,Yongala,-19.30847,147.61842,2012-09-18 11:00:00,28.9,WC
ESP20121212,Esperance,-33.93333,121.85,2012-12-12 09:10:00,50,WC
YON20130220,Yongala,-19.30847,147.61842,2013-02-20 10:42:00,28.9,WC
PHB20130319,Port Hacking,-34.11923,151.22667,2013-03-20 09:27:00,100,25
PHB20130319,Port Hacking,-34.11923,151.22667,2013-03-20 09:27:00,100,40
PHB20130319,Port Hacking,-34.11923,151.22667,2013-03-20 09:27:00,100,75
PHB20130422,Port Hacking,-34.11923,151.22667,2013-04-23 09:32:00,100,40
PHB20130422,Port Hacking,-34.11923,151.22667,2013-04-23 09:32:00,100,50
NIN20130509,Ningaloo,-21.99,113.779,2013-05-09 10:20:00,30,0
NIN20130509,Ningaloo,-21.99,113.779,2013-05-09 10:20:00,30,20
ROT20130221,Rottnest Island,-32,115.41667,2013-02-21 12:55:00,50,46
ROT20130321,Rottnest Island,-32,115.41667,2013-03-21 11:34:00,50,46
ROT20130423,Rottnest Island,-32,115.41667,2013-04-23 10:38:00,50,20
ROT20130423,Rottnest Island,-32,115.41667,2013-04-23 10:38:00,50,30
ROT20121219,Rottnest Island,-32,115.41667,2012-12-19 11:48:00,50,30
NSI20131212,North Stradbroke,-27.345,153.562,2013-12-12 10:20:00,60,50
KAI20111026,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,110,107
ESP20130314,Esperance,-33.93333,121.85,2013-03-14 09:24:00,50,10
MAI20130924,Maria Island,-42.59667,148.23333,2013-09-24 11:40:00,86,20
MAI20130924,Maria Island,-42.59667,148.23333,2013-09-24 11:40:00,86,50
MAI20130821,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00,86,10
MAI20130821,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00,86,85
KAI20130827,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00,110,20
KAI20130827,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00,110,50
MAI20131217,Maria Island,-42.59667,148.23333,2013-12-17 11:05:00,86,82
PHB20131027,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00,100,25
PHB20131027,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00,100,30
PHB20131027,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00,100,75
PHB20131202,Port Hacking,-34.11923,151.22667,2013-12-03 09:30:00,100,25
PHB20140120,Port Hacking,-34.11923,151.22667,2014-01-21 09:43:00,100,30
MAI20140205,Maria Island,-42.59667,148.23333,2014-02-05 11:05:00,86,0
MAI20140205,Maria Island,-42.59667,148.23333,2014-02-05 11:05:00,86,82
YON20130719,Yongala,-19.30847,147.61842,2013-07-19 11:08:00,28.9,26
DAR20130916,Darwin,-12.4,130.76805,2013-09-16 11:26:00,25,20
PHB20130611,Port Hacking,-34.11923,151.22667,2013-06-12 09:55:00,100,75
PHB20130826,Port Hacking,-34.11923,151.22667,2013-08-27 09:30:00,100,20
MAI20130528,Maria Island,-42.59667,148.23333,2013-05-28 10:56:00,86,10
MAI20130528,Maria Island,-42.59667,148.23333,2013-05-28 10:56:00,86,60
MAI20130528,Maria Island,-42.59667,148.23333,2013-05-28 10:56:00,86,75
NSI20130819,North Stradbroke,-27.345,153.562,2013-08-19 10:10:00,60,WC
NSI20130913,North Stradbroke,-27.345,153.562,2013-09-13 10:25:00,60,WC
ROT20130423,Rottnest Island,-32,115.41667,2013-04-23 10:38:00,50,WC
YON20160927,Yongala,-19.30847,147.61842,2016-09-27 10:33:00,28.9,WC
NSI20161116,North Stradbroke,-27.345,153.562,2016-11-16 10:15:00,60,WC
YON20130719,Yongala,-19.30847,147.61842,2013-07-19 11:08:00,28.9,8
DAR20120115_03:35,Darwin,-12.4,130.76805,2012-01-15 13:05:00,25,21
