NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
ESP20120910,19,19.134,(null),1026.0542,16.5182,(null),4.493177,(null),35.4457,0.1262,0.258
ESP20120910,24,24.17,(null),1026.0817,16.4948,(null),4.491038,(null),35.4456,0.1597,0.2425
ESP20120910,32,32.227,(null),1026.1295,16.4342,(null),4.485166,(null),35.4443,0.2179,0.2913
ESP20120910,42,42.299,(null),1026.2262,16.2369,(null),4.466586,(null),35.4512,0.31,0.3452
ESP20121212,3,3.021,(null),1025.419,19.3772,(null),4.804621,(null),35.6306,0.0795,0.3173
ESP20121212,11,11.077,(null),1025.456,19.3696,(null),4.804186,(null),35.6306,0.0907,0.3143
ESP20121212,12,12.085,(null),1025.4604,19.3631,(null),4.80357,(null),35.6306,0.0959,0.3282
ESP20121212,14,14.099,(null),1025.4738,19.3498,(null),4.802275,(null),35.6305,0.1082,0.3294
ESP20121212,17,17.12,(null),1025.4987,19.2997,(null),4.797167,(null),35.6297,0.123,0.3398
ESP20121212,27,27.192,(null),1025.6213,18.9072,(null),4.754737,(null),35.6078,0.1485,0.2168
ESP20121212,28,28.199,(null),1025.6338,18.8849,(null),4.752342,(null),35.6065,0.148,0.2167
ESP20121212,38,38.27,(null),1025.7362,18.6413,(null),4.726698,(null),35.5967,0.2122,0.2013
ESP20121212,45,45.321,(null),1025.7675,18.6392,(null),4.726745,(null),35.5963,0.2141,0.2627
ESP20121212,47,47.335,(null),1025.7761,18.6392,(null),4.726804,(null),35.5961,0.2161,0.2905
ESP20130314,7,7.049,(null),1025.059,21.1487,(null),5.003421,(null),35.7555,0.136,0.1906
ESP20130314,41,41.292,(null),1025.2104,21.1388,(null),5.003875,(null),35.7553,0.2429,0.1994
ESP20130314,44,44.314,(null),1025.2236,21.1394,(null),5.004073,(null),35.7553,0.2391,0.193
ESP20130314,48,48.343,(null),1025.2406,21.141,(null),5.004412,(null),35.7552,0.2431,0.3567
ESP20130725,6,6.042,(null),1025.8347,17.2493,(null),4.567932,(null),35.4606,0.1808,0.3392
ESP20130725,47,47.335,(null),1026.0417,17.1636,(null),4.561917,(null),35.4675,0.2891,0.4174
KAI20081019,80,80.539,(null),1027.0657,15.0958,7.7907,4.413357,(null),35.9903,0.992,0.1543
KAI20081019,89,89.513,(null),1027.215,14.9711,4.2633,4.413053,(null),36.0989,1.0245,0.147
KAI20081019,93,93.724,(null),1027.3037,14.9078,3.131,4.415121,(null),36.1748,1.0299,0.1287
KAI20090601,14,14.041,(null),1026.0045,17.9198,4.095,4.681427,(null),35.8492,0.9726,0.1613
KAI20090601,18,18.194,(null),1026.0226,17.9195,3.5128,4.681524,(null),35.8487,0.9792,0.1601
KAI20090601,24,24.119,(null),1026.0522,17.9231,2.5479,4.682821,(null),35.8544,0.9676,0.1613
KAI20090601,26,26.189,(null),1026.0645,17.9306,2.235,4.684207,(null),35.859,0.9566,0.1611
KAI20090601,31,31.289,(null),1026.0983,17.9609,1.5781,4.690001,(null),35.8801,1.0544,0.1368
KAI20090601,42,42.307,(null),1026.1609,17.9805,0.7996,4.69603,(null),35.9103,0.9526,0.1007
KAI20081110,62,62.414,(null),1026.8248,16.0982,0.604,4.523435,(null),36.0751,1.1327,0.145
KAI20081110,88,88.694,(null),1027.0023,15.989,0.0605,4.518308,(null),36.1179,1.15,0.1975
KAI20081110,91,91.722,(null),1027.0142,15.9762,0.0428,4.516953,(null),36.1162,1.1835,0.2245
KAI20081110,99,99.804,(null),1027.0692,15.9411,0.0109,4.515075,(null),36.1282,1.1807,0.2284
KAI20081211,4,4.036,(null),1026.1392,16.492,1.5216,4.512613,(null),35.647,1.0174,0.0579
KAI20081211,100,100.729,(null),1026.9642,15.641,0,4.459122,(null),35.898,1.0298,0.1383
KAI20090114,1,1.366,(null),1025.856,18.273,314.51,4.716434,(null),35.8439,0.9061,0.0358
KAI20090114,3,2.98,(null),1025.8824,18.272,155.045,4.719269,(null),35.8683,0.9525,0.0314
KAI20090114,16,16.116,(null),1025.941,18.2745,48.1626,4.720341,(null),35.8702,0.9727,0.0371
KAI20081211,15,15.161,(null),1026.2627,16.3758,0.7958,4.506948,(null),35.6965,1.004,0.0646
KAI20081211,24,24.065,(null),1026.3689,16.5607,0.5142,4.545221,(null),35.8662,1.0176,0.0882
KAI20081211,29,29.153,(null),1026.3959,16.3494,0.3796,4.524206,(null),35.8678,1.0111,0.1127
KAI20081211,38,38.32,(null),1026.6187,16.2775,0.1982,4.524326,(null),35.9302,1.0128,0.1375
KAI20081211,57,57.344,(null),1026.7582,15.9061,0.034,4.491351,(null),35.9644,1.0251,0.1841
KAI20081211,64,64.444,(null),1026.7842,15.9798,0.0107,4.499765,(null),35.9699,1.0385,0.1382
KAI20081211,68,68.377,(null),1026.788,15.9271,0.0028,4.492704,(null),35.953,1.0438,0.1361
KAI20081019,2,2.113,(null),1025.7251,15.566,652.8887,4.320671,(null),34.7594,26.3662,18.3889
KAI20081019,5,5.013,(null),1026.4174,15.5986,520.1333,4.431028,(null),35.7219,0.9949,0.0233
KAI20081019,9,9.097,(null),1026.4324,15.5891,561.315,4.430093,(null),35.7204,0.9692,0.0289
KAI20081019,12,12.03,(null),1026.4435,15.5655,491.0833,4.427532,(null),35.7176,0.9816,0.0296
KAI20081019,17,17.085,(null),1026.4459,15.4589,371.85,4.414826,(null),35.6974,0.9681,0.0336
KAI20081019,18,18.007,(null),1026.439,15.3908,342.0533,4.406216,(null),35.6809,0.9777,0.0352
KAI20081019,55,55.285,(null),1026.8344,15.1213,36.781,4.394549,(null),35.8054,0.9465,0.0834
