NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
DAR20190214_0630,Darwin,-12.4,130.76805,2019-02-14 16:00:00,(null),(null),(null)
MAI20180627,Maria Island,-42.59667,148.23333,2018-06-28 09:00:00,13.4647005,(null),0.572728336
ROT20200304,Rottnest Island,-32,115.41667,2020-03-04 09:25:00,20.19599953,(null),0.441875812
PHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25 08:52:00,22.7778571,(null),1.322954436
YON20191202,Yongala,-19.30847,147.61842,2019-12-03 09:45:00,26.15980779,(null),1.058563216
YON20191107,Yongala,-19.30847,147.61842,2019-11-07 10:10:00,(null),(null),(null)
DAR20191105,Darwin,-12.4,130.76805,2019-11-06 07:38:00,(null),(null),(null)
PHB20190626,Port Hacking,-34.11923,151.22667,2019-06-27 09:38:00,19.56454561,(null),0.495885359
ROT20190527,Rottnest Island,-32,115.41667,2019-05-27 09:28:00,22.19035351,(null),0.421521235
KAI20190320,Kangaroo Island,-35.83217,136.44733,2019-03-20 13:40:00,19.28025005,(null),0.177105757
NSI20200625,North Stradbroke,-27.345,153.562,2020-06-25 10:35:00,(null),(null),(null)
ROT20200520,Rottnest Island,-32,115.41667,2020-05-20 09:22:00,(null),(null),(null)
YON20181011,Yongala,-19.30847,147.61842,2018-10-11 10:54:00,25.1068023,(null),0.336158663
NSI20200528,North Stradbroke,-27.345,153.562,2020-05-28 11:00:00,(null),(null),(null)
YON20200422,Yongala,-19.30847,147.61842,2020-04-22 11:24:00,(null),(null),(null)
DAR20200204_0630,Darwin,-12.4,130.76805,2020-02-04 16:01:00,(null),(null),(null)
NSI20190416,North Stradbroke,-27.345,153.562,2019-04-16 10:10:00,(null),(null),(null)
MAI20191121,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00,10.40249991,(null),27.31699061
MAI20090601,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00,14.469993573055,0.541196704,(null)
DAR20120729_16:30,Darwin,-12.4,130.76805,2012-07-30 02:00:00,24.244993354566,2.250193604,2.522149324
NSI20120620,North Stradbroke,-27.345,153.562,2012-06-20 10:20:00,21.684993411787,0.400899988,0.601634264
NSI20120821,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00,21.00413863,0.483294961,0.338460654
NIN20120509,Ningaloo,-21.99,113.779,2012-05-09 10:50:00,27.489993282035,0.353223638,0.335790724
PHB20120917,Port Hacking,-34.11923,151.22667,2012-09-18 09:38:00,18.119993491471,1.035217785,0.459583253
PHB20111206,Port Hacking,-34.11923,151.22667,2011-12-07 09:30:00,18.999993471801,0.433274598,0.240461543
PHB20100316,Port Hacking,-34.11923,151.22667,2010-03-17 09:05:00,23.459993372113,0.411292342,0.379440218
PHB20111117,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,19.01511988,0.433274598,0.557636082
ESP20090512,Esperance,-33.93333,121.85,2009-05-12 12:10:00,19.189993467554,0.611399361,(null)
