SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
11870,North Stradbroke,-27.345,153.562,2019-06-18 10:00:00
11994,Port Hacking,-34.11923,151.22667,2019-06-27 09:38:00
12319,Darwin,-12.4,130.76805,2019-07-23 16:00:00
1317,Esperance,-33.93333,121.85,2011-01-20 08:50:00
1347,Yongala,-19.30847,147.61842,2011-07-20 11:37:00
1074,Port Hacking,-34.11923,151.22667,2009-03-19 09:39:00
1220,Esperance,-33.93333,121.85,2010-03-22 09:40:00
1164,Maria Island,-42.59667,148.23333,2010-03-30 11:40:00
1139,North Stradbroke,-27.345,153.562,2010-01-22 09:50:00
1361,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00
1490,Yongala,-19.30847,147.61842,2012-10-26 11:20:00
1579,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00
1779,Kangaroo Island,-35.83217,136.44733,2013-04-23 13:16:00
1788,Yongala,-19.30847,147.61842,2013-02-20 10:42:00
1794,Yongala,-19.30847,147.61842,2013-05-15 10:30:00
3068,Darwin,-12.4,130.76805,2013-06-17 17:30:00
3041,Darwin,-12.4,130.76805,2013-09-16 11:26:00
3077,Port Hacking,-34.11923,151.22667,2013-03-20 09:27:00
3092,Ningaloo,-21.99,113.779,2013-05-09 10:20:00
3143,Maria Island,-42.59667,148.23333,2013-09-24 11:40:00
4909,North Stradbroke,-27.345,153.562,2014-03-06 10:15:00
4932,Rottnest Island,-32,115.41667,2013-11-22 10:26:00
5523,Port Hacking,-34.11923,151.22667,2014-01-21 09:43:00
5544,Darwin,-12.4,130.76805,2014-07-03 09:08:00
5719,Kangaroo Island,-35.83217,136.44733,2014-05-07 13:45:00
5761,Port Hacking,-34.11923,151.22667,2014-06-13 09:20:00
5803,Port Hacking,-34.11923,151.22667,2014-09-11 10:13:00
5831,Rottnest Island,-32,115.41667,2014-05-19 12:22:00
6576,Maria Island,-42.59667,148.23333,2014-08-21 11:50:00
6981,Rottnest Island,-32,115.41667,2014-11-19 10:16:00
7093,Port Hacking,-34.11923,151.22667,2014-12-09 09:51:00
7123,Kangaroo Island,-35.83217,136.44733,2014-12-02 06:05:00
7277,Rottnest Island,-32,115.41667,2014-12-16 09:37:00
1080,North Stradbroke,-27.345,153.562,2008-09-29 10:30:00
1085,North Stradbroke,-27.345,153.562,2009-01-14 10:30:00
1090,North Stradbroke,-27.345,153.562,2009-06-18 13:30:00
1093,North Stradbroke,-27.345,153.562,2009-08-20 08:45:00
1419,Port Hacking,-34.11923,151.22667,2012-06-28 10:00:00
1435,Yongala,-19.30847,147.61842,2012-04-02 10:44:00
1434,Yongala,-19.30847,147.61842,2012-04-24 10:50:00
1433,Yongala,-19.30847,147.61842,2012-06-04 10:30:00
1368,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00
1316,Esperance,-33.93333,121.85,2010-10-13 08:15:00
1233,Rottnest Island,-32,115.41667,2010-05-20 10:05:00
1240,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00
1304,Maria Island,-42.59667,148.23333,2010-10-01 12:40:00
1350,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00
1358,Maria Island,-42.59667,148.23333,2011-07-25 12:15:00
1367,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00
1341,Ningaloo,-21.99,113.779,2010-11-08 15:00:00
1137,Yongala,-19.30847,147.61842,2010-01-19 10:45:00
1589,Ningaloo,-21.99,113.779,2012-02-26 09:54:00
1357,Maria Island,-42.59667,148.23333,2011-05-31 11:38:00
1109,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00
1303,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00
1318,Rottnest Island,-32,115.41667,2010-07-23 12:02:00
3289,Kangaroo Island,-35.83217,136.44733,2012-04-15 10:42:00
1246,Esperance,-33.93333,121.85,2010-06-29 10:05:00
7353,Maria Island,-42.59667,148.23333,2015-03-13 09:33:00
7385,North Stradbroke,-27.345,153.562,2015-03-04 10:30:00
7509,Yongala,-19.30847,147.61842,2014-11-21 08:48:00
8008,Maria Island,-42.59667,148.23333,2015-08-12 09:35:00
8092,Yongala,-19.30847,147.61842,2015-10-27 10:10:00
8505,North Stradbroke,-27.345,153.562,2016-03-18 10:30:00
8570,Kangaroo Island,-35.83217,136.44733,2016-02-24 07:55:00
8660,Yongala,-19.30847,147.61842,2016-03-21 10:31:00
8812,Rottnest Island,-32,115.41667,2016-04-13 09:30:00
9023,Rottnest Island,-32,115.41667,2016-05-02 09:44:00
