SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
5447,Maria Island,-42.59667,148.23333,2014-02-05 11:05:00
5491,Port Hacking,-34.11923,151.22667,2014-03-18 09:48:00
5885,Yongala,-19.30847,147.61842,2014-05-27 12:12:00
6979,North Stradbroke,-27.345,153.562,2014-12-23 10:35:00
7121,Kangaroo Island,-35.83217,136.44733,2014-10-29 11:00:00
7275,Darwin,-12.4,130.76805,2015-03-17 08:35:00
7335,Rottnest Island,-32,115.41667,2015-03-19 11:47:00
204,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00
116,North Stradbroke,-27.345,153.562,2009-09-17 08:30:00
178,Kangaroo Island,-35.83217,136.44733,2009-01-15 08:00:00
184,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00
203,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00
100,Port Hacking,-34.11923,151.22667,2010-11-11 09:10:00
86,Port Hacking,-34.11923,151.22667,2011-06-20 09:34:00
122,Yongala,-19.30847,147.61842,2009-12-15 11:25:00
151,Ningaloo,-21.99,113.779,2012-02-26 09:54:00
5,Maria Island,-42.59667,148.23333,2009-04-21 11:45:00
18,Port Hacking,-34.11923,151.22667,2012-02-13 10:00:00
21,Yongala,-19.30847,147.61842,2011-05-27 10:50:00
24,Yongala,-19.30847,147.61842,2009-09-09 10:40:00
29,Kangaroo Island,-35.83217,136.44733,2010-04-20 07:00:00
34,Rottnest Island,-32,115.41667,2011-09-23 09:40:00
69,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00
7398,North Stradbroke,-27.345,153.562,2015-03-04 10:30:00
7477,North Stradbroke,-27.345,153.562,2015-05-12 10:15:00
7629,Maria Island,-42.59667,148.23333,2015-05-26 10:35:00
7597,Kangaroo Island,-35.83217,136.44733,2015-04-09 07:11:00
8533,North Stradbroke,-27.345,153.562,2016-04-12 10:45:00
8673,Yongala,-19.30847,147.61842,2016-03-21 10:31:00
8688,Yongala,-19.30847,147.61842,2016-05-03 10:01:00
8748,Darwin,-12.4,130.76805,2016-02-02 16:00:00
8763,Kangaroo Island,-35.83217,136.44733,2016-05-26 07:35:00
8915,Darwin,-12.4,130.76805,2016-05-31 07:50:00
8989,North Stradbroke,-27.345,153.562,2016-08-22 10:50:00
8195,Darwin,-12.4,130.76805,2015-11-18 08:16:00
9650,Darwin,-12.4,130.76805,2016-11-08 08:11:00
10315,North Stradbroke,-27.345,153.562,2017-10-23 10:25:00
10422,North Stradbroke,-27.345,153.562,2017-11-16 10:30:00
