NRS_CODE,Station,Latitude,Longitude,SampleDateLocal,Biomass_mgm3
NRSMAI20150312_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-03-13,1.3768
NRSMAI20150421_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-04-21,11.95275
NRSMAI20150526_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-05-26,84.41426
NRSMAI20150723_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-07-23,2.01334
NRSMAI20150811_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-08-12,1.36737
NRSMAI20151001_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-10-01,26.87601
NRSMAI20151118_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-11-19,24.51847
NRSMAI20151216_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-12-17,2.82905
NRSMAI20160209_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-02-10,4.24358
NRSMAI20160303_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-03-04,9.8121
NRSMAI20160321_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-03-22,6.08246
NRSMAI20160428_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-04-28,13.58417
NRSMAI20160530_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-05-31,3.78621
NRSMAI20160630_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-07-01,0.40078
NRSMAI20160720_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-07-21,0.32534
NRSMAI20160831_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-08-31,2.88563
NRSMAI20160927_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-09-27,10.4675
NRSMAI20161117_ZOOBIOWC,Maria Island,-42.59667,148.23333,2016-11-18,5.67696
NRSMAI20170104_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-01-05,10.92486
NRSMAI20170223_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-02-24,17.28552
NRSMAI20170323_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-03-24,8.88323
NRSMAI20170412_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-04-12,10.2506
NRSMAI20170601_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-06-02,11.73114
NRSMAI20170626_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-06-27,0.74969
NRSMAI20170801_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-08-01,13.34842
NRSMAI20170921_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-09-22,14.25371
NRSMAI20171015_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-10-16,18.24268
NRSMAI20171123_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-11-24,14.23957
NRSMAI20171217_ZOOBIOWC,Maria Island,-42.59667,148.23333,2017-12-18,13.98024
NRSMAI20180116_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-01-17,51.00785
NRSMAI20180301_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-03-02,28.73376
NRSMAI20180315_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-03-16,23.33969
NRSMAI20180418_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-04-19,21.11889
NRSMAI20180605_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-06-06,17.10634
NRSMAI20180627_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-06-28,7.0632
NRSMAI20180711_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-07-12,6.27107
NRSMAI20180919_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-09-20,12.25923
NRSMAI20181018_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-10-19,3.50331
NRSMAI20181204_ZOOBIOWC,Maria Island,-42.59667,148.23333,2018-12-05,18.11426
NRSMAI20190106_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-01-07,18.43747
NRSMAI20190320_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-03-21,15.19202
NRSMAI20190430_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-05-01,24.60334
NRSMAI20190624_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-06-24,24.32986
NRSMAI20190731_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-07-31,8.99167
NRSMAI20190828_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-08-29,4.80939
NRSMAI20190925_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-09-25,9.08597
NRSMAI20191015_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-10-16,32.86418
NRSMAI20191121_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-11-22,10.08557
NRSMAI20191210_ZOOBIOWC,Maria Island,-42.59667,148.23333,2019-12-11,9.58106
