NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML
NRSDAR20190723_0330,Darwin,-12.4,130.76805,2019-07-23 13:00:00,0,(null),(null),(null)
NRSDAR20190723_0630,Darwin,-12.4,130.76805,2019-07-23 16:00:00,0,(null),(null),(null)
NRSNSI20191024,North Stradbroke,-27.345,153.562,2019-10-24 10:20:00,10,(null),(null),(null)
NRSYON20190826,Yongala,-19.30847,147.61842,2019-08-26 10:40:00,26,(null),(null),(null)
NRSYON20180817,Yongala,-19.30847,147.61842,2018-08-17 10:23:00,0,37158.335,15926.79,3258.15
NRSYON20181011,Yongala,-19.30847,147.61842,2018-10-11 10:54:00,0,14900.48,56374.035,3414.375
NRSMAI20190731,Maria Island,-42.59667,148.23333,2019-07-31 10:20:00,50,(null),(null),(null)
NRSMAI20190828,Maria Island,-42.59667,148.23333,2019-08-29 09:20:00,0,(null),(null),(null)
NRSMAI20190828,Maria Island,-42.59667,148.23333,2019-08-29 09:20:00,20,(null),(null),(null)
NRSYON20180425,Yongala,-19.30847,147.61842,2018-04-26 09:48:00,0,46849.785,37847.955,2071.305
NRSPHB20180905,Port Hacking,-34.11923,151.22667,2018-09-05 10:50:00,75,503.615,1468.655,4448.7
NRSPHB20180905,Port Hacking,-34.11923,151.22667,2018-09-05 10:50:00,100,644.55,2432.76,5779.47
NRSMAI20191015,Maria Island,-42.59667,148.23333,2019-10-16 09:40:00,85,(null),(null),(null)
NRSNSI20191220,North Stradbroke,-27.345,153.562,2019-12-20 10:20:00,0,(null),(null),(null)
NRSNSI20200122,North Stradbroke,-27.345,153.562,2020-01-22 10:35:00,10,(null),(null),(null)
NRSNSI20200122,North Stradbroke,-27.345,153.562,2020-01-22 10:35:00,20,(null),(null),(null)
NRSMAI20180919,Maria Island,-42.59667,148.23333,2018-09-20 09:50:00,85,633.395,2161.685,4085.12
NRSPHB20190121,Port Hacking,-34.11923,151.22667,2019-01-22 09:43:00,50,(null),(null),(null)
NRSROT20181211,Rottnest Island,-32,115.41667,2018-12-11 09:24:00,30,12351.52,15305.025,11771.465
NRSMAI20190106,Maria Island,-42.59667,148.23333,2019-01-07 08:50:00,10,(null),(null),(null)
NRSNSI20200228,North Stradbroke,-27.345,153.562,2020-02-28 10:30:00,20,(null),(null),(null)
NRSNSI20200228,North Stradbroke,-27.345,153.562,2020-02-28 10:30:00,40,(null),(null),(null)
NRSDAR20200204_0330,Darwin,-12.4,130.76805,2020-02-04 13:00:00,10,(null),(null),(null)
NRSKAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27 14:25:00,100,(null),(null),(null)
