NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSMAI20120621,0,0.4,1,0,0.4,16,0
NRSMAI20120724,0,0.2,1,0.1,0.2,19,0
NRSMAI20120724,0,0.2,1,-0.1,0.2,19,0
NRSMAI20120820,0,0.4,1,0.2,0.2,15,0
NRSMAI20120820,0,0.4,1,0.1,0.3,15,0
NRSNSI20081217,0,(null),9,(null),(null),(null),0
NRSNSI20090114,0,(null),9,(null),(null),(null),0
NRSNSI20090218,0,(null),9,(null),(null),14,0
NRSNSI20090318,0,(null),9,(null),(null),(null),0
NRSNSI20090416,0,(null),9,(null),(null),21,0
NRSNSI20090527,0,(null),9,(null),(null),4,0
NRSNSI20090618,0,(null),9,(null),(null),11,0
NRSNSI20090720,0,(null),9,(null),(null),19,0
NRSNSI20090819,0,(null),9,(null),(null),19,0
NRSNSI20120229,0,1,1,0.4,0.6,16,1
NRSNSI20120229,0,1.3,1,0.7,0.7,16,1
NRSNSI20120511,0,1,1,0.4,0.6,16,0
NRSNSI20120511,0,1.1,1,0.6,0.6,16,0
NRSNSI20120620,0,1,1,0.5,0.5,12,0
NRSNSI20120620,0,1,1,0.4,0.7,12,0
NRSNSI20120806,0,1.2,1,0.6,0.6,22,0
NRSNSI20120806,0,2.8,1,2.2,0.6,22,0
NRSNSI20120821,0,1.5,1,0.6,0.9,19,1
NRSNSI20120821,0,1.9,1,1.6,0.3,19,1
NRSNSI20120912,0,0.8,1,0.3,0.5,21,1
NRSNSI20121017,0,0.8,1,0.5,0.3,13,1
NRSNSI20121017,0,0.8,1,0.5,0.3,13,1
NRSPHB20100413,0,(null),9,(null),(null),16.5,0
NRSPHB20120717,0,0.5,1,0.3,0.3,12.5,0
NRSYON20120402,0,1.5,1,1,0.5,14,0
NRSYON20120402,0,1.5,1,1,0.5,14,0
NRSYON20120424,0,1.2,1,0.7,0.5,17,0
NRSYON20120424,0,1.5,1,1,0.5,17,0
NRSYON20120604,0,0.9,1,0.5,0.4,15,0
NRSYON20120604,0,0.9,1,0.5,0.4,15,0
NRSYON20120726,0,1.1,1,0.5,0.6,14,1
NRSYON20120726,0,0.9,1,0.3,0.6,14,1
NRSYON20120816,0,0.8,1,0.5,0.3,18,0
NRSYON20120816,0,0.6,1,0.5,0.2,18,0
NRSKAI20081019,0,(null),9,(null),(null),(null),9
NRSKAI20081110,0,(null),9,(null),(null),(null),0
NRSKAI20100721,0,10,0,9,1,(null),9
NRSKAI20081211,0,(null),9,(null),(null),11.5,0
NRSKAI20100215,0,(null),9,(null),(null),19.2,0
NRSNIN20120827,0,0.6,1,0.3,0.3,20,0
NRSNIN20120827,0,0.4,1,0.1,0.3,20,0
NRSROT20120504,0,0.7,1,0.3,0.4,12.5,0
NRSROT20120504,0,0.8,1,0.4,0.4,12.5,0
NRSROT20120523,0,2.8,1,0.9,1.9,14,0
NRSROT20120523,0,2.7,1,0.8,2,14,0
NRSROT20120727,0,0.6,1,0.2,0.3,17,0
NRSROT20120727,0,0.6,1,0.2,0.4,17,0
NRSROT20120824,0,0.6,1,0.3,0.3,18,0
NRSROT20120824,0,0.6,1,0.2,0.3,18,0
NRSESP20120612,0,0.7,1,0.3,0.4,12,0
NRSESP20120612,0,0.7,1,0.4,0.3,12,0
NRSESP20120910,0,0.8,1,0.3,0.6,13,0
NRSESP20120910,0,0.9,1,0.3,0.6,13,0
NRSMAI20121002,0,0.5,1,0.1,0.3,15,0
NRSMAI20121002,0,0.3,1,0,0.3,15,0
NRSNIN20120509,0,1.2,1,0.7,0.5,12.5,0
NRSNIN20120509,0,0.9,1,0.4,0.5,12.5,0
NRSNSI20121114,0,0.8,1,0.6,0.3,16.5,1
NRSNSI20121114,0,1.3,1,0.8,0.5,16.5,1
NRSDAR20121208_16:30,0,4.5,1,3.8,0.7,(null),0
NRSDAR20121208_16:30,0,5.3,1,4.5,0.9,(null),0
