SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
365-61,-45.19125,16.0956185,0.2122,0.663110137
323-41,-106.6875,16.95,0.4069,0.412863076
324-5,-33.1325,19.28,0.4195,0.34871608
299-45,-133.704375,17.16,0.5545,0.252937913
402-49,-5453.0475,15.7363824,0.4482,0.304143459
336-5,-4473.43,12.1159659,0.6086,(null)
359-69,0.1121,9.81,0.5639,0.172456473
296-21,-2628.236875,26.1,0.3761,0.085712634
242-21,-21.675,26.64,0.1576,0.563315809
148-51,-2683.070244,12.059577,0.2241,(null)
142-35,-3404.1737,9.2131187,0.1945,(null)
140-23,-4173.957738,3.2941605,0.201,(null)
141-1,-4331.734881,5.6040216,0.1385,(null)
141-33,-4235.260606,6.0567299,0.1497,(null)
141-61,0.1121,(null),0.1801,(null)
398-45,-50.0325,24.7621461,0.2526,0.39135769
221-48,0.1121,13.1,0.1608,0.233950511
146-67,0.1121,4.08,0.174,0.128641233
146-75,0.1121,4.07,0.1346,0.114726722
160-10,0.1121,2.68,0.2173,(null)
160-20,0.1121,2.74,0.1706,0.177671373
164-5,-4290.500606,6.09,0.1766,0.184115946
2-73,-59.64329375,14.27,0.3614,0.543383241
15-29,-2958.77465,22.85,0.1482,0.138450637
14-1,-64.33541875,26.13,0.145,0.202676117
66-65,-1048.331688,19.34,0.3269,0.69808495
51-65,-1017.264756,20.89,0.1623,0.452156574
90-10,0.1121,4.98,0.1371,0.193082973
82-13,-458.2452188,28.12,0.1559,0.241958648
348-1,-3392.076875,17.73,0.196,0.388994843
142-72,0.1121,(null),0.2267,(null)
149-81,-3454.911394,4.5463132,0.1113,(null)
149-77,-3347.739188,4.7047855,0.1095,(null)
149-24,-3324.079838,8.1397854,0.1277,(null)
164-72,-4288.7016,2.74,0.1711,(null)
189-21,0.1121,14.93,0.157,0.30039832
211-53,-550.394375,15.51,0.3265,0.38555634
216-91,-4322.530844,6.08,0.1934,0.16110453
344-53,-419.08375,15.28,0.532,0.312848896
402-65,-5531.749375,16.4308963,0.3302,0.300927937
143-22,0.1121,(null),0.2289,(null)
14-61,0.1121,24.45,0.1835,0.155399561
19-9,-1332.306881,23.25,0.5911,0.165636435
221-18,0.1121,15.09,0.3622,0.471656531
15-73,-60.5051875,19.26,0.2759,0.189253181
3-9,-754.2064188,20.46,0.1616,0.223862559
14-49,-1854.995375,24.6,0.1366,0.288090438
13-57,-1468.805294,17.73,0.3079,0.369733691
18-46,-122.405,22.1595073,0.1687,(null)
19-30,-3891.9025,19.8143685,0.4155,(null)
187-41,0.1121,13.73,0.173,0.470306963
83-89,0.1121,18.46,0.1544,0.238579869
82-61,-1178.790963,26.54,0.178,0.141692489
92-29,-3710.06425,6.38,0.7703,0.100625329
65-33,-92.756875,29.34,0.1268,0.179865733
127-17,-2521.411631,15.88,0.2035,0.20768778
145-29,0.1121,1.7,0.1918,0.545911133
147-42,-3095.814675,6.26,0.1103,0.146830782
144-46,0.1121,3.87,0.2114,0.113205679
157-21,-4601.62055,3.45,0.4606,0.119386941
157-54,0.1121,2.72,0.2213,0.143469915
158-29,-4524.617225,1.8,0.1689,0.194982573
158-80,0.1121,-0.2,0.372,0.289031625
158-82,0.1121,0,0.1573,0.34155637
160-22,0.1121,2.8,0.4278,0.17495665
163-49,0.1121,9.64,0.2326,0.146695137
163-51,0.1121,9.71,0.1528,0.166660339
166-6,0.1121,2.84,0.256,0.131999686
183-13,-1951.030431,20.01,0.1319,0.196927965
164-36,0.1121,4.95,0.1463,(null)
164-63,-4175.611506,3.12,0.138,0.132193998
162-58,-3613.702906,9.93,0.2007,0.134610608
162-71,-3621.618506,8.86,0.1888,0.159837246
162-79,0.1121,9.96,0.1364,0.19973056
207-35,0.1121,10.67,0.6737,(null)
207-39,0.1121,10.43,0.1923,(null)
209-24,0.1121,2.39,0.1676,0.097094901
216-49,-3397.61895,7.13,0.4834,0.161579698
215-48,0.1121,9.76,0.278,0.142671093
215-85,-3769.480194,8.94,0.109,0.20066312
220-40,-4370.143331,0.9,0.2245,0.200492233
220-54,-4308.216256,0.09,0.2692,(null)
308-37,-4463.759375,16.84,0.3093,0.36997208
268-53,-447.095625,20.23,0.2483,0.2331682
299-9,-72.7675,15.41,0.3503,(null)
297-9,-108.815,24.97,0.2329,0.216724753
298-25,-2388.95375,20.86,0.294,0.376422077
321-39,-4600.724731,10.15,0.2205,0.236640394
316-43,-3985.036394,10.9554798,0.417,0.290546089
305-77,-55.631875,13.18,0.1478,0.416765988
305-85,-74.105,13.34,0.3418,0.344396174
306-61,-56.42625,14.35,0.1818,0.381290466
330-53,-74.799375,14.23,0.3422,1.638363361
354-1,-22.71875,22.8504101,0.2874,0.240372449
343-21,-3291.88375,21.4,0.3903,0.198290944
244-5,-83.796875,18.96,0.3959,0.196482375
139-94,0.1121,(null),0.2005,(null)
148-40,0.1121,(null),0.2873,(null)
148-31,0.1121,(null),0.2965,(null)
150-8,0.1121,(null),0.0975,(null)
150-23,-4086.889613,3.895341,0.1355,(null)
149-80,-3426.771725,4.5890216,0.1794,(null)
149-74,0.1121,(null),0.1095,(null)
141-71,-4353.794931,6.4807576,0.1506,(null)
139-22,0.1121,(null),0.2386,(null)
392-69,-2937.510625,20.5340907,0.2272,0.331053466
308-33,-4539.73125,16.45,0.2224,0.266025424
146-55,0.1121,3.96,0.2078,0.150536045
147-13,0.1121,4.68,0.3968,0.115186334
136-25,-179.141725,16.9,0.2117,0.231122941
160-74,0.1121,4.33,0.1557,0.129740968
159-39,0.1121,1.61,0.1689,0.426497519
163-83,-4085.299681,9.68,0.1891,0.180538848
69-54,-927.62125,17.4215213,0.1517,(null)
77-17,-2259.798806,22.27,0.1108,0.130829379
53-21,-4792.422613,13.27,0.143,0.234433904
89-24,0.1121,6.89,0.1924,0.23612462
129-1,-4843.603856,14.96,0.24,0.348819643
190-53,0.1121,18.36,0.2182,0.321057081
98-9,-629.57865,23.73,0.1586,0.277490079
358-1,-75.520625,21.0902712,0.1574,0.502570271
142-48,0.1121,(null),0.2004,(null)
142-58,-3530.181388,9.0488131,0.1861,(null)
149-90,-3644.685775,4.109716,0.1148,(null)
170-29,-5379.3265,17.64,0.1502,0.169919267
161-87,0.1121,6.38,0.2255,0.150743484
208-13,-4759.702088,9.41,0.1503,(null)
220-79,-4474.317288,-0.33,0.8734,0.156220287
143-1,0.1121,(null),0.264,(null)
140-15,0.1121,(null),0.1917,(null)
328-29,-122.210625,21.98,0.4885,0.469883859
398-65,-48.584375,24.5790906,0.4213,0.303853333
148-26,-2664.804738,13.5721464,0.2972,(null)
69-33,-2592.998425,17.72,0.1504,0.39114359
6-12,0.1121,(null),0.113,(null)
54-9,-837.6130063,13.76,0.2266,0.224762827
45-9,-1861.784913,19.33,0.2391,0.433730781
15-65,-817.5027625,19.19,0.241,0.13549009
14-53,-1769.772244,24.9,0.1753,0.208791539
13-65,-757.80895,17.54,0.3383,0.381411046
86-85,0.1121,7.07,0.1235,0.149638429
93-46,0.1121,8.83,0.22,0.177635685
65-41,-95.943125,29.71,0.2812,0.13977851
129-33,-4507.411769,15.3,0.1322,0.483228356
147-68,0.1121,8.55,0.1195,0.115217149
144-5,-2883.483319,5.61,0.2004,0.126680508
144-72,0.1121,3.52,0.1272,0.128403902
144-86,0.1121,2.53,0.3035,0.131210312
145-15,0.1121,1.85,0.1405,0.152499005
159-18,0.1121,1.34,0.1569,(null)
159-64,0.1121,1.94,0.1422,0.125425741
155-8,0.1121,6.63,0.3185,0.140500188
155-14,0.1121,6.19,0.1674,0.179858416
163-21,0.1121,10.83,0.1381,0.207612947
177-73,-57.87009375,17.24,0.1438,0.543954492
178-81,-12.549375,19.66,0.2559,0.699922264
162-39,-3421.29365,8.17,0.3268,0.183286607
162-59,-3615.439756,9.77,0.524,(null)
162-77,-3644.691756,9.41,0.2361,0.209509775
209-45,0.1121,2.21,0.1611,0.146891639
209-54,0.1121,1.89,0.1542,0.179716974
214-73,-56.74625,16.1762435,0.1848,0.168100104
211-32,0.1121,16.25,0.2902,0.941318452
219-50,-4192.837769,3.5,0.8912,(null)
323-25,-84.035625,16.4,0.2782,0.164675981
328-21,-121.61875,23.72,0.2246,0.217557371
343-53,-713.856875,19.26,0.3575,0.278697222
402-45,-5470.87,15.4001324,0.2612,0.280240685
349-57,-68.87625,13.87,0.7885,0.340337366
321-49,-4717.81125,10.07,0.439,0.245700315
306-29,-119.901875,14.24,0.222,0.348950535
360-37,-4735.18375,13,0.4441,0.221648574
148-64,-3984.92685,11.5755492,0.195,(null)
148-47,0.1121,(null),0.2467,(null)
381-57,-4567.755,10.7701325,0.11,0.292672276
141-26,-4179.940463,5.8201327,0.1309,(null)
299-85,-38.545625,16.88,0.1224,0.495075047
