NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
MAI20180627,11010,Maria Island,-42.59667,148.23333,2018-06-28 09:00:00
YON20190507,12070,Yongala,-19.30847,147.61842,2019-05-07 11:30:00
ROT20190819,12410,Rottnest Island,-32,115.41667,2019-08-19 08:31:00
ROT20181024,11309,Rottnest Island,-32,115.41667,2018-10-24 09:18:00
YON20190826,12466,Yongala,-19.30847,147.61842,2019-08-26 10:40:00
YON20191202,12540,Yongala,-19.30847,147.61842,2019-12-03 09:45:00
KAI20200204,12807,Kangaroo Island,-35.83217,136.44733,2020-02-04 14:25:00
MAI20180919,11238,Maria Island,-42.59667,148.23333,2018-09-20 09:50:00
NSI20190322,11822,North Stradbroke,-27.345,153.562,2019-03-22 10:50:00
YON20180602,11121,Yongala,-19.30847,147.61842,2018-06-03 09:10:00
MAI20181204,11349,Maria Island,-42.59667,148.23333,2018-12-05 09:10:00
YON20180817,11199,Yongala,-19.30847,147.61842,2018-08-17 10:23:00
MAI20191121,12635,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00
PHB20191216,12837,Port Hacking,-34.11923,151.22667,2019-12-17 09:02:00
NSI20200122,12685,North Stradbroke,-27.345,153.562,2020-01-22 10:35:00
NSI20090114,1085,North Stradbroke,-27.345,153.562,2009-01-14 10:30:00
YON20090909,1129,Yongala,-19.30847,147.61842,2009-09-09 10:40:00
NSI20100618,1241,North Stradbroke,-27.345,153.562,2010-06-18 12:30:00
NSI20090527,1089,North Stradbroke,-27.345,153.562,2009-05-27 12:03:00
MAI20091111,1116,Maria Island,-42.59667,148.23333,2009-11-11 11:30:00
PHB20091206,1144,Port Hacking,-34.11923,151.22667,2009-12-07 09:14:00
MAI20100120,1163,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00
MAI20100330,1164,Maria Island,-42.59667,148.23333,2010-03-30 11:40:00
KAI20091215,1226,Kangaroo Island,-35.83217,136.44733,2009-12-16 07:15:00
PHB20110203,1287,Port Hacking,-34.11923,151.22667,2011-02-04 09:58:00
YON20101208,1291,Yongala,-19.30847,147.61842,2010-12-08 10:45:00
NSI20110623,1331,North Stradbroke,-27.345,153.562,2011-06-23 10:25:00
PHB20110517,1315,Port Hacking,-34.11923,151.22667,2011-05-18 09:25:00
NSI20111013,1353,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00
PHB20111018,1363,Port Hacking,-34.11923,151.22667,2011-10-19 09:31:00
ROT20120329,3208,Rottnest Island,-32,115.41667,2012-03-29 10:03:00
NIN20120509,1745,Ningaloo,-21.99,113.779,2012-05-09 10:50:00
DAR20120417,1403,Darwin,-12.4,130.76805,2012-04-17 09:42:00
NSI20140213,3313,North Stradbroke,-27.345,153.562,2014-02-13 10:20:00
PHB20130725,4906,Port Hacking,-34.11923,151.22667,2013-07-26 09:24:00
PHB20130826,3050,Port Hacking,-34.11923,151.22667,2013-08-27 09:30:00
